Object_Id  Timestamp Type Lat Lng 
7 119 point 50.6203347 3.0822923
10 119 point 50.6466976 3.0540036
19 119 point 50.6267914 3.0821271
30 119 point 50.6338514 3.0615355
32 119 point 50.6285186 3.0824083
38 119 point 50.6193921 3.0814742
43 119 point 50.6282539 3.0681211
48 119 point 50.6308009 3.0761596
7 120 point 50.6204427 3.0827673
10 120 point 50.6469051 3.05421
19 120 point 50.6266851 3.0816536
30 120 point 50.6337153 3.0616385
32 120 point 50.6294219 3.0822146
38 120 point 50.6198503 3.0814833
43 120 point 50.6282662 3.0679848
48 120 point 50.6307843 3.0762413
7 121 point 50.62041 3.082385
10 121 disappearpoint 50.646974 3.0543339
19 121 point 50.6265786 3.0811402
30 121 point 50.633504 3.0615853
32 121 point 50.6278319 3.0828452
38 121 point 50.6201173 3.0815635
43 121 point 50.6289929 3.0667139
48 121 point 50.6307369 3.0762578
7 122 point 50.6203402 3.0821302
19 122 point 50.6264855 3.0807205
30 122 point 50.6334863 3.0614701
32 122 point 50.6263776 3.0835296
38 122 point 50.6204118 3.0816984
43 122 point 50.6295777 3.0656422
48 122 point 50.6306871 3.0763024
7 123 point 50.620263 3.0819719
19 123 point 50.6264291 3.0804232
30 123 point 50.6334552 3.0613786
32 123 point 50.6255287 3.0839724
38 123 point 50.6206222 3.0818412
43 123 point 50.6299422 3.0649744
48 123 point 50.6302283 3.0760898
7 124 point 50.6201357 3.0818191
19 124 point 50.626319 3.0798953
30 124 point 50.6331829 3.0608342
32 124 point 50.6259324 3.0836907
38 124 point 50.6209167 3.0821161
43 124 point 50.6298705 3.0649007
48 124 point 50.6294575 3.0757266
7 125 point 50.6199529 3.08171
19 125 point 50.626281 3.0796816
30 125 point 50.6336276 3.0602118
32 125 point 50.6266048 3.0833243
38 125 point 50.6216866 3.0828732
43 125 point 50.6297791 3.0648647
48 125 point 50.6294421 3.0756505
7 126 point 50.6196594 3.0817161
19 126 point 50.6262507 3.0795312
30 126 point 50.6339882 3.0610793
32 126 point 50.6271831 3.0828751
38 126 point 50.6225763 3.0838307
43 126 point 50.6289932 3.0647578
48 126 point 50.6294801 3.0754057
7 127 point 50.6191106 3.0817148
19 127 point 50.6263475 3.0794845
30 127 point 50.6340716 3.0613114
32 127 point 50.6282622 3.0822751
38 127 point 50.6226522 3.0839074
43 127 point 50.6289111 3.0644528
48 127 point 50.6301433 3.075708
7 128 point 50.6188506 3.0817246
19 128 point 50.6263699 3.0794728
30 128 point 50.6340937 3.0613897
32 128 point 50.6287635 3.0820622
38 128 point 50.622846 3.0840752
43 128 point 50.6285084 3.0647208
48 128 point 50.6307033 3.0759688
7 129 point 50.6186607 3.0817523
19 129 point 50.6266521 3.0793089
30 129 point 50.6342384 3.0617001
32 129 point 50.6294831 3.0818906
38 129 point 50.6229975 3.0841974
43 129 point 50.6287547 3.0647367
48 129 point 50.6307775 3.0759401
7 130 point 50.6182551 3.0817511
19 130 point 50.6267882 3.0792414
30 130 point 50.634185 3.0616848
32 130 point 50.6299379 3.0818466
